item_no,field_name,description
136,pop_r_f,Rural_population-Female
137,pop_0_14,Selected_age_groups_and_dependency_ratios-0_14
138,pop_15_64,Selected_age_groups_and_dependency_ratios-15_64
139,pop_65ab,Selected_age_groups_and_dependency_ratios-65_years_and_above
140,pop_10_17,Selected_age_groups_and_dependency_ratios-10_17
141,pop_18ab,Selected_age_groups_and_dependency_ratios-18_years_and_above
142,marstat_15ab_t,Marital_status_for_both_sex_15_year_and_above-Total
143,marstat_15ab_sgl_t,Marital_status_for_both_sex_15_year_and_above-Single
144,marstat_15ab_marr_t,Marital_status_for_both_sex_15_year_and_above-Married
145,marstat_15ab_wid_t,Marital_status_for_both_sex_15_year_and_above-Widowed
146,marstat_15ab_div_t,Marital_status_for_both_sex_15_year_and_above-Divorced_Separated
147,marstat_15ab_reno_t,Marital_status_for_both_sex_15_year_and_above-Renounced
148,marstat_15ab_m,Marital_status_for_male_15_year_and_above-Total
149,marstat_15ab_sgl_m,Marital_status_for_male_15_year_and_above-Single
150,marstat_15ab_marr_m,Marital_status_for_male_15_year_and_above-Married
151,marstat_15ab_wid_m,Marital_status_for_male_15_year_and_above-Widowed
152,marstat_15ab_div_m,Marital_status_for_male_15_year_and_above-Divorced_Separated
153,marstat_15ab_reno_m,Marital_status_for_male_15_year_and_above-Renounced
154,marstat_15ab_f,Marital_status_for_female_15_year_and_above-Total
155,marstat_15ab_sgl_f,Marital_status_for_female_15_year_and_above-Single
156,marstat_15ab_marr_f,Marital_status_for_female_15_year_and_above-Married
157,marstat_15ab_wid_f,Marital_status_for_female_15_year_and_above-Widowed
158,marstat_15ab_div_f,Marital_status_for_female_15_year_and_above-Divorced_Separated
159,marstat_15ab_reno_f,Marital_status_for_female_15_year_and_above-Renounced
160,pop_15ab_t,Both_sexes_Total_15_year_and_above-Total
161,lit_15ab_t,Both_sexes_Total_15_year_and_above-Literate
162,illit_15ab_t,Both_sexes_Total_15_year_and_above-Illiterate
163,pop_15ab_m,Male_Total_15_year_and_above-Total
164,lit_15ab_m,Male_Total_15_year_and_above-Literate
165,illit_15ab_m,Male_Total_15_year_and_above-Illiterate
166,pop_15ab_f,Female_Total_15_year_and_above-Total
167,lit_15ab_f,Female_Total_15_year_and_above-Literate
168,illit_15ab_f,Female_Total_15_year_and_above-Illiterate
169,pop_15ab_t_u,Urban_Both_sexes_Total_15_year_and_above-Total
170,lit_15ab_t_u,Urban_Both_sexes_Total_15_year_and_above-Literate
171,illit_15ab_t_u,Urban_Both_sexes_Total_15_year_and_above-Illiterate
172,pop_15ab_m_u,Urban_Male_Total_15_year_and_above-Total
173,lit_15ab_m_u,Urban_Male_Total_15_year_and_above-Literate
174,illit_15ab_m_u,Urban_Male_Total_15_year_and_above-Illiterate
175,pop_15ab_f_u,Urban_Female_Total_15_year_and_above-Total
176,lit_15ab_f_u,Urban_Female_Total_15_year_and_above-Literate
177,illit_15ab_f_u,Urban_Female_Total_15_year_and_above-Illiterate
178,pop_15ab_t_r,Rural_Both_sexes_Total_15_year_and_above-Total
179,lit_15ab_t_r,Rural_Both_sexes_Total_15_year_and_above-Literate
180,illit_15ab_t_r,Rural_Both_sexes_Total_15_year_and_above-Illiterate
181,pop_15ab_m_r,Rural_Male_Total_15_year_and_above-Total
182,lit_15ab_m_r,Rural_Male_Total_15_year_and_above-Literate
183,illit_15ab_m_r,Rural_Male_Total_15_year_and_above-Illiterate
184,pop_15ab_f_r,Rural_Female_Total_15_year_and_above-Total
185,lit_15ab_f_r,Rural_Female_Total_15_year_and_above-Literate
186,illit_15ab_f_r,Rural_Female_Total_15_year_and_above-Illiterate
187,schatt_5_29_t,Both_sexes_5_to_29_years_school_college_attendance-Total
188,schatt_5_29_curr_t,Both_sexes_5_to_29_years_school_college_attendance-Currently_attending
189,schatt_5_29_prev_t,Both_sexes_5_to_29_years_school_college_attendance-Attended_previously
190,schatt_5_29_nev_t,Both_sexes_5_to_29_years_school_college_attendance-Never_attended
191,schatt_5_29_m,Male_5_to_29_years_school_college_attendance-Total
192,schatt_5_29_curr_m,Male_5_to_29_years_school_college_attendance-Currently_attending
193,schatt_5_29_prev_m,Male_5_to_29_years_school_college_attendance-Attended_previously
194,schatt_5_29_nev_m,Male_5_to_29_years_school_college_attendance-Never_attended
195,schatt_5_29_f,Female_5_to_29_years_school_college_attendance-Total
196,schatt_5_29_curr_f,Female_5_to_29_years_school_college_attendance-Currently_attending
197,schatt_5_29_prev_f,Female_5_to_29_years_school_college_attendance-Attended_previously
198,schatt_5_29_nev_f,Female_5_to_29_years_school_college_attendance-Never_attended
199,hied_25ab_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Total
200,hied_25ab_non_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-None
201,hied_25ab_pri15_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Primary_school_grade_1_5
202,hied_25ab_mid69_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Middle_school_grade_6_9
203,hied_25ab_hi1011_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-High_school_grade_10_11
204,hied_25ab_dip_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Diploma
205,hied_25ab_uni_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-University_College
206,hied_25ab_post_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Post_graduate_and_above
207,hied_25ab_voc_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Vocational_training
208,hied_25ab_oth_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Other
209,hied_25ab_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Total
210,hied_25ab_non_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-None
211,hied_25ab_pri15_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Primary_school_grade_1_5
212,hied_25ab_mid69_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Middle_school_grade_6_9
213,hied_25ab_hi1011_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-High_school_grade_10_11
214,hied_25ab_dip_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Diploma
215,hied_25ab_uni_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-University_College
216,hied_25ab_post_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Post_graduate_and_above
217,hied_25ab_voc_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Vocational_training
218,hied_25ab_oth_m,Male_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Other
219,hied_25ab_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Total
220,hied_25ab_non_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-None
221,hied_25ab_pri15_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Primary_school_grade_1_5
222,hied_25ab_fid69_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Middle_school_grade_6_9
223,hied_25ab_hi1011_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-High_school_grade_10_11
224,hied_25ab_dip_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Diploma
225,hied_25ab_uni_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-University_College
226,hied_25ab_post_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Post_graduate_and_above
227,hied_25ab_voc_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Vocational_training
228,hied_25ab_oth_f,Female_25 years_and_over_by_highest_level_of_education_completed_both_ households_and_institutions-Other
229,hied_25ab_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Total
230,hied_25ab_non_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-None
231,hied_25ab_pri15_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Primary_school_grade_1_5
232,hied_25ab_mid69_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Middle_school_grade_6_9
233,hied_25ab_hi1011_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-High_school_grade_10_11
234,hied_25ab_dip_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Diploma
235,hied_25ab_uni_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-University_College
236,hied_25ab_post_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Post_graduate_and_above
237,hied_25ab_voc_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Vocational_training
238,hied_25ab_oth_hh_t,Both_Sex_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Other
239,hied_25ab_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Total
240,hied_25ab_non_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-None
241,hied_25ab_pri15_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Primary_school_grade_1_5
242,hied_25ab_mid69_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Middle_school_grade_6_9
243,hied_25ab_hi1011_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-High_school_grade_10_11
244,hied_25ab_dip_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Diploma
245,hied_25ab_uni_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-University_College
246,hied_25ab_post_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Post_graduate_and_above
247,hied_25ab_voc_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Vocational_training
248,hied_25ab_oth_hh_m,Male_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Other
249,hied_25ab_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Total
250,hied_25ab_non_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-None
251,hied_25ab_pri15_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Primary_school_grade_1_5
252,hied_25ab_mid69_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Middle_school_grade_6_9
253,hied_25ab_hi1011_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-High_school_grade_10_11
254,hied_25ab_dip_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Diploma
255,hied_25ab_uni_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-University_College
256,hied_25ab_post_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Post_graduate_and_above
257,hied_25ab_voc_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Vocational_training
258,hied_25ab_oth_hh_f,Female_25 years_and_over_by_highest_level_of_education_completed_in_ conventional_households-Other
259,hied_25ab_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Total
260,hied_25ab_non_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-None
261,hied_25ab_pri15_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Primary_school_grade_1_5
262,hied_25ab_mid69_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Middle_school_grade_6_9
263,hied_25ab_hi1011_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-High_school_grade_10_11
264,hied_25ab_dip_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Diploma
265,hied_25ab_uni_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-University_College
266,hied_25ab_post_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Post_graduate_and_above
267,hied_25ab_voc_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Vocational_training
268,hied_25ab_oth_ins_t,Both_Sex_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Other
269,hied_25ab_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Total
270,hied_25ab_non_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-None
271,hied_25ab_pri15_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Primary_school_grade_1_5
272,hied_25ab_mid69_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Middle_school_grade_6_9
273,hied_25ab_hi1011_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-High_school_grade_10_11
274,hied_25ab_dip_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Diploma
275,hied_25ab_uni_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-University_College
276,hied_25ab_post_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Post_graduate_and_above
277,hied_25ab_voc_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Vocational_training
278,hied_25ab_oth_ins_m,Male_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Other
279,hied_25ab_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Total
280,hied_25ab_non_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-None
281,hied_25ab_pri15_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Primary_school_grade_1_5
282,hied_25ab_mid69_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Middle_school_grade_6_9
283,hied_25ab_hi1011_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-High_school_grade_10_11
284,hied_25ab_dip_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Diploma
285,hied_25ab_uni_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-University_College
286,hied_25ab_post_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Post_graduate_and_above
287,hied_25ab_voc_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Vocational_training
288,hied_25ab_oth_ins_f,Female_25_years_and_over_by_highest_level_of_education_completed_in_institutions-Other
289,usuact_10ab_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Total
290,usuact_10ab_govemp_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Employee_government
291,usuact_10ab_priemp_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Employee_private
292,usuact_10ab_empyr_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Employer
293,usuact_10ab_ownacc_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Own_account_worker
294,usuact_10ab_unpfam_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Unpaid_family_worker
295,usuact_10ab_seekw_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Sought_work
296,usuact_10ab_nseekw_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Did_not_seek_work
297,usuact_10ab_stu_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Full_time_student
298,usuact_10ab_hhwork_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Household_worker
299,usuact_10ab_retir_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Pensioner_retired_elderly
300,usuact_10ab_ill_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Ill_disabled
301,usuact_10ab_oth_t,Both_ Sex_10_years_and_over_by_Usual_activity_status-Other
302,usuact_10ab_m,Male_10_years_and_over_by_Usual_activity_status-Total
303,usuact_10ab_govemp_m,Male_10_years_and_over_by_Usual_activity_status-Employee_government
304,usuact_10ab_priemp_m,Male_10_years_and_over_by_Usual_activity_status-Employee_private
305,usuact_10ab_empyr_m,Male_10_years_and_over_by_Usual_activity_status-Employer
306,usuact_10ab_ownacc_m,Male_10_years_and_over_by_Usual_activity_status-Own_account_worker
307,usuact_10ab_unpfam_m,Male_10_years_and_over_by_Usual_activity_status-Unpaid_family_worker
308,usuact_10ab_seekw_m,Male_10_years_and_over_by_Usual_activity_status-Sought_work
309,usuact_10ab_nseekw_m,Male_10_years_and_over_by_Usual_activity_status-Did_not_seek_work
310,usuact_10ab_stu_m,Male_10_years_and_over_by_Usual_activity_status-Full_time_student
311,usuact_10ab_hhwork_m,Male_10_years_and_over_by_Usual_activity_status-Household_worker
312,usuact_10ab_retir_m,Male_10_years_and_over_by_Usual_activity_status-Pensioner_retired_elderly
313,usuact_10ab_ill_m,Male_10_years_and_over_by_Usual_activity_status-Ill_disabled
314,usuact_10ab_oth_m,Male_10_years_and_over_by_Usual_activity_status-Other
315,usuact_10ab_f,Female_10_years_and_over_by_Usual_activity_status-Total
316,usuact_10ab_govemp_f,Female_10_years_and_over_by_Usual_activity_status-Employee_government
317,usuact_10ab_priemp_f,Female_10_years_and_over_by_Usual_activity_status-Employee_private
318,usuact_10ab_empyr_f,Female_10_years_and_over_by_Usual_activity_status-Employer
319,usuact_10ab_ownacc_f,Female_10_years_and_over_by_Usual_activity_status-Own_account_worker
320,usuact_10ab_unpfam_f,Female_10_years_and_over_by_Usual_activity_status-Unpaid_family_worker
321,usuact_10ab_seekw_f,Female_10_years_and_over_by_Usual_activity_status-Sought_work
322,usuact_10ab_nseekw_f,Female_10_years_and_over_by_Usual_activity_status-Did_not_seek_work
323,usuact_10ab_stu_f,Female_10_years_and_over_by_Usual_activity_status-Full_time_student
324,usuact_10ab_hhwork_f,Female_10_years_and_over_by_Usual_activity_status-Household_worker
325,usuact_10ab_retir_f,Female_10_years_and_over_by_Usual_activity_status-Pensioner_retired_elderly
326,usuact_10ab_ill_f,Female_10_years_and_over_by_Usual_activity_status-Ill_disabled
327,usuact_10ab_oth_f,Female_10_years_and_over_by_Usual_activity_status-Other
328,idcard_10ab_t,Identity_card_10_year_and_over_in_total-Total
329,idcard_10ab_citi_t,Identity_card_10_year_and_over_in_total-Citizenship_Scrutiny_Card
330,idcard_10ab_assc_t,Identity_card_10_year_and_over_in_total-Associate_Scrutiny_Card
331,idcard_10ab_natu_t,Identity_card_10_year_and_over_in_total-Naturalised_Scrutiny_Card
332,idcard_10ab_natreg_t,Identity_card_10_year_and_over_in_total-National_Registration_Card
333,idcard_10ab_relig_t,Identity_card_10_year_and_over_in_total-Religious_Card
334,idcard_10ab_temp_t,Identity_card_10_year_and_over_in_total-Temporary_Registration_Card
335,idcard_10ab_forreg_t,Identity_card_10_year_and_over_in_total-Foreign_Registration_Card
336,idcard_10ab_forpp_t,Identity_card_10_year_and_over_in_total-Foreign_Passport
337,idcard_10ab_non_t,Identity_card_10_year_and_over_in_total-None
338,idcard_10ab_u_t,Identity_card_10_year_and_over_in_Urban-Total
339,idcard_10ab_citi_u_t,Identity_card_10_year_and_over_in_Urban-Citizenship_Scrutiny_Card
340,idcard_10ab_assc_u_t,Identity_card_10_year_and_over_in_Urban-Associate_Scrutiny_Card
341,idcard_10ab_natu_u_t,Identity_card_10_year_and_over_in_Urban-Naturalised_Scrutiny_Card
342,idcard_10ab_natreg_u_t,Identity_card_10_year_and_over_in_Urban-National_Registration_Card
343,idcard_10ab_relig_u_t,Identity_card_10_year_and_over_in_Urban-Religious_Card
344,idcard_10ab_temp_u_t,Identity_card_10_year_and_over_in_Urban-Temporary_Registration_Card
345,idcard_10ab_forreg_u_t,Identity_card_10_year_and_over_in_Urban-Foreign_Registration_Card
346,idcard_10ab_forpp_u_t,Identity_card_10_year_and_over_in_Urban-Foreign_Passport
347,idcard_10ab_non_u_t,Identity_card_10_year_and_over_in_Urban-None
348,idcard_10ab_r_t,Identity_card_10_year_and_over_in_Rural-Total
349,idcard_10ab_citi_r_t,Identity_card_10_year_and_over_in_Rural-Citizenship_Scrutiny_Card
350,idcard_10ab_assc_r_t,Identity_card_10_year_and_over_in_Rural-Associate_Scrutiny_Card
351,idcard_10ab_natu_r_t,Identity_card_10_year_and_over_in_Rural-Naturalised_Scrutiny_Card
352,idcard_10ab_natreg_r_t,Identity_card_10_year_and_over_in_Rural-National_Registration_Card
353,idcard_10ab_relig_r_t,Identity_card_10_year_and_over_in_Rural-Religious_Card
354,idcard_10ab_temp_r_t,Identity_card_10_year_and_over_in_Rural-Temporary_Registration_Card
355,idcard_10ab_forreg_r_t,Identity_card_10_year_and_over_in_Rural-Foreign_Registration_Card
356,idcard_10ab_forpp_r_t,Identity_card_10_year_and_over_in_Rural-Foreign_Passport
357,idcard_10ab_non_r_t,Identity_card_10_year_and_over_in_Rural-None
358,popdisab_notdisab_t,Total_population_both_sex-Not_disabled
